Date	Opp	AB	R	H	2B	3B	HR	RBI	TBB	IBB	SO	SB	CS	ERR
8/22/01	Ari	3	0	0	0	0	0	0	1	0	1	0	0	0
8/23/01	Ari	3	0	0	0	0	0	0	1	0	2	0	0	0
8/24/01	Hou	4	1	1	0	0	1	1	0	0	0	0	0	2
8/25/01	Hou	4	1	1	0	0	1	4	0	0	0	0	0	0
8/26/01	Hou	3	1	1	0	0	0	0	1	0	0	0	0	0
8/27/01	@Mil	3	2	2	0	0	1	1	1	0	0	0	0	0
8/28/01	@Mil	5	1	2	0	0	0	0	0	0	0	1	0	0
8/29/01	@Mil	4	3	4	1	0	2	5	1	0	0	0	0	0
8/31/01	@Cin	4	1	2	1	0	1	2	0	0	0	0	0	1
9/1/01	@Cin	5	0	1	0	0	0	0	0	0	1	0	0	0
9/2/01	@Cin	5	1	2	2	0	0	2	0	0	2	0	0	0
9/3/01	Mil	5	2	4	0	0	0	0	0	0	1	0	0	0
9/3/01	Mil	3	1	0	0	0	0	0	1	1	0	0	0	0
9/4/01	Mil	4	1	1	0	0	0	0	0	0	1	0	0	0
9/5/01	Mil	3	1	1	0	0	0	0	1	0	1	0	0	0
9/6/01	Cin	5	2	3	0	0	0	1	0	0	0	0	0	0
9/7/01	Cin	4	0	1	0	0	0	1	0	0	1	0	0	0
9/8/01	Cin	4	1	1	0	0	1	2	0	0	0	0	0	0
9/9/01	Cin	5	0	2	0	0	0	1	0	0	2	0	0	0
9/17/01	NYM	4	0	0	0	0	0	0	0	0	0	0	0	0
9/18/01	NYM	4	0	0	0	0	0	0	0	0	2	0	0	0
9/19/01	NYM	4	0	2	1	0	0	1	0	0	0	0	0	0
9/20/01	StL	4	0	1	0	0	0	0	0	0	1	0	0	0
9/21/01	StL	4	0	1	0	0	0	0	0	0	1	0	0	1
9/22/01	StL	4	0	1	1	0	0	0	0	0	0	0	0	0
9/23/01	StL	4	0	0	0	0	0	1	0	0	0	0	0	0
9/24/01	ChC	4	0	1	1	0	0	1	0	0	0	0	0	0
9/25/01	ChC	4	2	2	0	0	1	2	0	0	1	0	0	1
9/26/01	ChC	4	0	1	0	0	0	0	1	0	0	0	0	0
9/28/01	@StL	4	0	0	0	0	0	0	0	0	1	0	0	1
9/29/01	@StL	4	0	1	0	0	0	0	0	0	1	0	1	0
9/30/01	@StL	3	1	1	0	0	1	2	1	0	1	0	0	0
10/1/01	@NYM	4	1	2	1	0	0	0	0	0	1	0	1	0
10/2/01	@NYM	5	1	3	1	0	0	2	0	0	0	0	0	0
10/3/01	@NYM	4	0	1	0	0	0	0	0	0	2	0	0	0
10/5/01	@ChC	3	0	0	0	0	0	1	0	0	2	0	0	0
10/6/01	@ChC	2	0	0	0	0	0	0	0	0	1	0	0	0
10/7/01	@ChC	1	0	0	0	0	0	0	0	0	0	0	0	0
